id,gateway_id,pkt_date_and_time,pkt_rssi,pkt_snr,pkt_data,pkt_size,pkt_longitude,pkt_latitude
653,240AC4F01E023E3C,2018-02-06T15:23:51.696828Z,-52,7,"{""time"": ""2018-02-06T15:23:51.560833Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
654,240AC4F01E023C54,2018-02-06T15:23:51.692886Z,-47,7,"{""time"": ""2018-02-06T15:23:51.560833Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
655,240AC4F01E0286DC,2018-02-06T15:23:51.598764Z,-50,7,"{""time"": ""2018-02-06T15:23:51.560833Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
656,240AC4F01E023E3C,2018-02-06T15:23:54.322038Z,-47,6,"{""time"": ""2018-02-06T15:23:54.93281Z"", ""gtiD"": ""240AC4F01E0286DC""}",66,1.5,9.05
657,240AC4F01E023C54,2018-02-06T15:23:54.322762Z,-44,7,"{""time"": ""2018-02-06T15:23:54.93281Z"", ""gtiD"": ""240AC4F01E0286DC""}",66,1.5,9.05
658,240AC4F01E023E3C,2018-02-06T15:23:54.736996Z,-51,7,"{""time"": ""2018-02-06T15:23:54.600216Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
659,240AC4F01E0286DC,2018-02-06T15:23:54.644668Z,-45,7,"{""time"": ""2018-02-06T15:23:54.600216Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
660,240AC4F01E025FF4,2018-02-06T15:23:54.329144Z,-48,7,"{""time"": ""2018-02-06T15:23:54.93281Z"", ""gtiD"": ""240AC4F01E0286DC""}",66,1.5,9.05
661,240AC4F01E025FF4,2018-02-06T15:23:54.744081Z,-48,7,"{""time"": ""2018-02-06T15:23:54.600216Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
662,240AC4F01E023C54,2018-02-06T15:24:00.408796Z,-52,7,"{""time"": ""2018-02-06T15:24:00.269770Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
663,240AC4F01E0286DC,2018-02-06T15:24:00.314719Z,-46,6,"{""time"": ""2018-02-06T15:24:00.269770Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
664,240AC4F01E025FF4,2018-02-06T15:24:00.414025Z,-49,7,"{""time"": ""2018-02-06T15:24:00.269770Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
